Title,Column 1,Column 2,Column 3,Column 4
Head of Customer Services Assurance,Director,,,
"Business Development Manager, Information Services",Manager,,,
"Vice President Marketing, Sales and Design Studio, GTA Urban",Vice President,,,
Marketing AND Product Director,Director,,,
Responsable Digital / E Commerce & MarketPlace,Individual Contributor/Staff,,,
Audit and TAS Partner Chairman and CEO,Chief Officer,,,
Director Sales Digital Solutions,Director,,,
Junior Key Account Manager,Manager,,,
Sales Coordinator Profile Systems,Individual Contributor/Staff,,,
Marketing Koordinatorin,Individual Contributor/Staff,,,
Control of Supply of Goods / Customer Care,Individual Contributor/Staff,,,
Global Senior Product Portfolio Manager,Manager,,,
Sales Manager Metallurgy,Manager,,,
Team Leader Brand Marketing,Individual Contributor/Staff,,,
Senior Brand Manager OTC,Manager,,,
Assistant Tax Department,Individual Contributor/Staff,,,
Tax Advisor Group Tax Department,Individual Contributor/Staff,,,
Senior Manager Client Services,Manager,,,
Executive Head: Business Development,Director,,,
"Head of Partnerships, Strategic Accounts & Digital Sales Unit Mako",Director,,,
Head of Sales Frater & Electrical Accessories,Director,,,
New Business Development and Strategic Partner Director,Director,,,
Head of Corporate Communications&Marketing,Director,,,
Proudct Marketing Manager,Manager,,,
Project Manager : Business Development Unit: Product Development & Contract Compliance: PPP Projects,Manager,,,
Sales Planning Chief,Individual Contributor/Staff,,,
Senior Business Development Manager Defense & Aerospace,Manager,,,
Senior ISP Training,Individual Contributor/Staff,,,
Sales Coordinator New Business,Individual Contributor/Staff,,,
Marketing Automation Coordinator,Individual Contributor/Staff,,,
Senior Independedirector and Chair of the Customer and Communities Network,,,,
Service Development Manager,Manager,,,
Head of Bids & Proposals and Business Development Transactional,Director,,,
"Head of Strategy and Policy, Local Electric Vehicle Infrastructure Levi",Director,,,
Graduate Marketing Executive,Individual Contributor/Staff,,,
Chief Marketing & Revenue Officer,Chief Officer,,,
"Director Marketing, New Product Development, Consumer&Market Insight",Director,,,
Head of SME Customers,Director,,,
VP Customer Account Management & Invoicing,Vice President,,,
"Head of Unit, Contact Center",Director,,,
Head of Business Development and Products,Director,,,
Marketing Manager | Communication,Manager,,,
Global Omnichannel Marketing Manager,Manager,,,
Account Director Consumer Goods,Director,,,
Senior Business Development Adviser,Individual Contributor/Staff,,,
Group Director Finance & Control,Director,,,
Business Development Electronic Innovation Manager,Manager,,,
Deputy CFO / Treasurer,Vice President,,,
Sales Account Manager Doctor's,Manager,,,
Marketing Manager / Events & Sponsoring,Manager,,,
Technical Marketing Engineer 5G Networks,Individual Contributor/Staff,,,
Seller/Advisor,Individual Contributor/Staff,,,
purchase & sales executive,Individual Contributor/Staff,,,
Customer Support Officer 1st line,Individual Contributor/Staff,,,
Technical E Commerce Analyst,Individual Contributor/Staff,,,
Sales Support Employee Inside Service,Individual Contributor/Staff,,,
eCommerce Operations Coordinator,Individual Contributor/Staff,,,
Managing Brand Director JOOP,Director,,,
Relationship Manager Financial Institutions,Manager,,,
Heating Technician / Sales Consultant Field Service | Radiators and Heating/Chilled Ceiling Systems,Individual Contributor/Staff,,,
"Senior Client Relationship Manager Fundraising/Sales, Member of the Management Team",Manager,,,
"IT, Security & Enterprise Analytics Director, Project Management Office",Director,,,
"Senior Manager, Enterprise Security Governance & Risk Management",Manager,,,
"Senior Vice President and General Counsel, Ethics & Compliance",Manager,,,
"Vice President, Safety, Health, & Security | Program Solutions | Onboarding | Compliance | Training",Vice President,,,
"Vice President, Safety - Strategic Risks and Growth",Vice President,,,
Senior Cybersecurity IT Network Specialist,Individual Contributor/Staff,,,
Senior IT Cybersecurity Engineer,Individual Contributor/Staff,,,
"Manager, Merchant Risk & Underwriting",Manager,,,
"Associate Manager, Executive Compensation & Benefits; SOX Compliance",Individual Contributor/Staff,,,
"Legislative and Statutory Compliance Office, Director",Director,,,
Senior EMC/Compliance Engineer,Individual Contributor/Staff,,,
Compliance Program Manager and Privacy Officer,Manager,,,
"Vice President, Technology and Innovation",Vice President,,,
Director Engineering/DevOps Cloud Infrastructure,Director,,,
Senior Application Services Analyst,Individual Contributor/Staff,,,
"Vice President, CIO Global Business Services",Chief Officer,,,
Principal Software Engineer | Technology Director,Director,,,
ISSE/ AWS Cloud Architect,Manager,,,
"Director, Software Engineering, Store Associate Facing Apps",Director,,,
Principal Software Engineer / Architect / Tech Lead,Manager,,,
"Chief Information Security Officer, AVP Information Security",Chief Officer,,,
"Solution Architect, Technical Account Manager",Manager,,,
Net Software Architect and Team Project Lead,Manager,,,
Solutions Architect & Technical Lead,Manager,Individual Contributor/Staff,,
"Manager, Salesforcecom Administration and Release Engineering",Manager,,,
Innovation Automation Architect,Manager,,,
"Founder and Chief Executive Officer, Kindbody",Chief Officer,,,
